season,week,celebrity_name,exit_week,result_type,placement,n_judges,raw_score_sum,max_possible_points,normalized_score,n_contestants,judge_share,judge_rank,is_eliminated,rule_system,estimated_fan_share,share_std,confidence,n_valid_sims,prior_strength,posterior_strength,fan_judge_gap,evidence_ratio,relative_confidence
1,1,John O'Hurley,99,finalist,2,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.166667,,,0,4.8,4.8,-0.01681923853210998,1.0,1.0
1,2,John O'Hurley,99,finalist,2,3,26.0,30.0,0.8666666666666667,6,0.2148760330578512,1.0,False,Rank,0.162719,0.15808,0.1917,1917,4.8,6.8,-0.05215703305785119,1.4166666666666667,1.0
1,3,John O'Hurley,99,finalist,2,3,24.0,30.0,0.8,5,0.2264150943396226,2.0,False,Rank,0.196864,0.14306,0.3897,3897,6.8,8.799999999999999,-0.02955109433962258,1.2941176470588234,1.0
1,4,John O'Hurley,99,finalist,2,3,21.0,30.0,0.7,4,0.2282608695652174,3.0,False,Rank,0.25437,0.122717,0.1955,1955,8.799999999999999,10.799999999999995,0.02610913043478258,1.2272727272727268,1.0
1,5,John O'Hurley,99,finalist,2,3,27.0,30.0,0.9,3,0.3698630136986301,1.0,False,Rank,0.304254,,,0,10.799999999999995,10.799999999999995,-0.06560901369863009,1.0,1.0
1,6,John O'Hurley,99,finalist,2,3,27.0,30.0,0.9,2,0.4954128440366973,2.0,False,Rank,0.466417,,,0,10.56759807825239,10.56759807825239,-0.02899584403669725,1.0,1.0
1,1,Kelly Monaco,99,finalist,1,3,13.0,30.0,0.4333333333333333,6,0.1192660550458715,6.0,False,Rank,0.166667,,,0,4.8,4.8,0.04740094495412851,1.0,1.0
1,2,Kelly Monaco,99,finalist,1,3,17.0,30.0,0.5666666666666667,6,0.140495867768595,5.0,False,Rank,0.196242,0.15338,0.1917,1917,4.8,6.8,0.05574613223140501,1.4166666666666667,1.0
1,3,Kelly Monaco,99,finalist,1,3,21.0,30.0,0.7,5,0.1981132075471698,4.0,False,Rank,0.282874,0.136506,0.3897,3897,6.8,8.799999999999999,0.08476079245283022,1.2941176470588234,1.0
1,4,Kelly Monaco,99,finalist,1,3,26.0,30.0,0.8666666666666667,4,0.2826086956521739,1.0,False,Rank,0.286966,0.128256,0.1955,1955,8.799999999999999,10.799999999999995,0.0043573043478261075,1.2272727272727268,1.0
1,5,Kelly Monaco,99,finalist,1,3,23.5,30.0,0.7833333333333333,3,0.321917808219178,2.0,False,Rank,0.348067,,,0,10.799999999999995,10.799999999999995,0.026149191780822034,1.0,1.0
1,6,Kelly Monaco,99,finalist,1,3,27.5,30.0,0.9166666666666666,2,0.5045871559633027,1.0,False,Rank,0.533583,,,0,10.56759807825239,10.56759807825239,0.028995844036697305,1.0,1.0
1,1,Evander Holyfield,3,eliminated,5,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.166667,,,0,4.8,4.8,0.0015293853211010011,1.0,1.0
1,2,Evander Holyfield,3,eliminated,5,3,14.0,30.0,0.4666666666666667,6,0.1157024793388429,6.0,False,Rank,0.248656,0.155593,0.1917,1917,4.8,6.8,0.1329535206611571,1.4166666666666667,1.0
1,3,Evander Holyfield,3,eliminated,5,3,13.0,30.0,0.4333333333333333,5,0.1226415094339622,5.0,True,Rank,0.102001,0.064719,0.3897,3897,6.8,8.799999999999999,-0.0206405094339622,1.2941176470588234,1.0
1,1,Rachel Hunter,4,eliminated,4,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.166667,,,0,4.8,4.8,-0.01681923853210998,1.0,1.0
1,2,Rachel Hunter,4,eliminated,4,3,24.0,30.0,0.8,6,0.1983471074380165,2.0,False,Rank,0.164955,0.15394,0.1917,1917,4.8,6.8,-0.033392107438016516,1.4166666666666667,1.0
1,3,Rachel Hunter,4,eliminated,4,3,26.0,30.0,0.8666666666666667,5,0.2452830188679245,1.0,False,Rank,0.193678,0.145565,0.3897,3897,6.8,8.799999999999999,-0.05160501886792451,1.2941176470588234,1.0
1,4,Rachel Hunter,4,eliminated,4,3,25.0,30.0,0.8333333333333334,4,0.2717391304347826,2.0,True,Rank,0.101928,0.04858,0.1955,1955,8.799999999999999,10.799999999999995,-0.16981113043478258,1.2272727272727268,1.0
1,1,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.166667,,,0,4.8,4.8,-0.01681923853210998,1.0,1.0
1,2,Joey McIntyre,99,finalist,3,3,21.0,30.0,0.7,6,0.1735537190082644,3.0,False,Rank,0.19675,0.151681,0.1917,1917,4.8,6.8,0.023196280991735596,1.4166666666666667,1.0
1,3,Joey McIntyre,99,finalist,3,3,22.0,30.0,0.7333333333333333,5,0.2075471698113207,3.0,False,Rank,0.224583,0.143982,0.3897,3897,6.8,8.799999999999999,0.017035830188679296,1.2941176470588234,1.0
1,4,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,4,0.217391304347826,4.0,False,Rank,0.356736,0.112009,0.1955,1955,8.799999999999999,10.799999999999995,0.139344695652174,1.2272727272727268,1.0
