season,week,celebrity_name,estimated_fan_share_basic,confidence_basic,n_valid_sims_basic,estimated_fan_share_bayesian,confidence_bayesian,n_valid_sims_bayesian,prior_strength,posterior_strength,fan_share_diff,confidence_diff
1,1,John O'Hurley,0.166667,,0,0.16666666666666669,,0,4.8,4.8,-3.3333333332441484e-07,
1,1,Kelly Monaco,0.166667,,0,0.16666666666666669,,0,4.8,4.8,-3.3333333332441484e-07,
1,1,Evander Holyfield,0.166667,,0,0.16666666666666669,,0,4.8,4.8,-3.3333333332441484e-07,
1,1,Rachel Hunter,0.166667,,0,0.16666666666666669,,0,4.8,4.8,-3.3333333332441484e-07,
1,1,Joey McIntyre,0.166667,,0,0.16666666666666669,,0,4.8,4.8,-3.3333333332441484e-07,
1,1,Trista Sutter,0.166667,,0,0.16666666666666669,,0,4.8,4.8,-3.3333333332441484e-07,
1,2,John O'Hurley,0.166891,0.182,1820,0.16271931455377783,0.1917,1917,4.8,6.8,-0.004171685446222179,0.009700000000000014
1,2,Kelly Monaco,0.198557,0.182,1820,0.19624197299938573,0.1917,1917,4.8,6.8,-0.0023150270006142837,0.009700000000000014
1,2,Evander Holyfield,0.245775,0.182,1820,0.24865608955961357,0.1917,1917,4.8,6.8,0.002881089559613581,0.009700000000000014
1,2,Rachel Hunter,0.166097,0.182,1820,0.16495468860823267,0.1917,1917,4.8,6.8,-0.00114231139176732,0.009700000000000014
1,2,Joey McIntyre,0.19169,0.182,1820,0.19674987496515817,0.1917,1917,4.8,6.8,0.005059874965158168,0.009700000000000014
1,2,Trista Sutter,0.03099,0.182,1820,0.03067805931383194,0.1917,1917,4.8,6.8,-0.00031194068616806,0.009700000000000014
1,3,John O'Hurley,0.208955,0.4316,4316,0.19686410357729392,0.3897,3897,6.8,8.799999999999999,-0.012090896422706082,-0.04189999999999999
1,3,Kelly Monaco,0.283827,0.4316,4316,0.2828735546876686,0.3897,3897,6.8,8.799999999999999,-0.0009534453123313802,-0.04189999999999999
1,3,Evander Holyfield,0.069751,0.4316,4316,0.10200118117549196,0.3897,3897,6.8,8.799999999999999,0.03225018117549197,-0.04189999999999999
1,3,Rachel Hunter,0.216794,0.4316,4316,0.1936784224204933,0.3897,3897,6.8,8.799999999999999,-0.02311557757950669,-0.04189999999999999
1,3,Joey McIntyre,0.220673,0.4316,4316,0.2245827381390519,0.3897,3897,6.8,8.799999999999999,0.003909738139051905,-0.04189999999999999
1,4,John O'Hurley,0.27041,0.1671,1671,0.25437023557145105,0.1955,1955,8.799999999999999,10.799999999999997,-0.01603976442854893,0.02840000000000001
1,4,Kelly Monaco,0.26879,0.1671,1671,0.28696630814746227,0.1955,1955,8.799999999999999,10.799999999999997,0.018176308147462295,0.02840000000000001
1,4,Rachel Hunter,0.051511,0.1671,1671,0.10192770316051218,0.1955,1955,8.799999999999999,10.799999999999997,0.05041670316051218,0.02840000000000001
1,4,Joey McIntyre,0.409289,0.1671,1671,0.35673575312057404,0.1955,1955,8.799999999999999,10.799999999999997,-0.052553246879425974,0.02840000000000001
1,5,John O'Hurley,0.333333,,0,0.30425381570399906,,0,10.799999999999997,10.799999999999997,-0.029079184296000926,
1,5,Kelly Monaco,0.333333,,0,0.34806705332392646,,0,10.799999999999997,10.799999999999997,0.014734053323926466,
1,5,Joey McIntyre,0.333333,,0,0.3476791309720746,,0,10.799999999999997,10.799999999999997,0.0143461309720746,
1,6,John O'Hurley,0.5,,0,0.4664174184054414,,0,10.56759807825239,10.56759807825239,-0.033582581594558625,
1,6,Kelly Monaco,0.5,,0,0.5335825815945586,,0,10.56759807825239,10.56759807825239,0.033582581594558625,
2,1,Tatum O'Neal,0.102018,0.2555,2555,0.1039677399968391,0.2598,2598,8.0,10.0,0.0019497399968391033,0.0042999999999999705
2,1,Tia Carrere,0.106407,0.2555,2555,0.10753700747901064,0.2598,2598,8.0,10.0,0.001130007479010639,0.0042999999999999705
2,1,George Hamilton,0.125837,0.2555,2555,0.12344352757740207,0.2598,2598,8.0,10.0,-0.0023934724225979365,0.0042999999999999705
2,1,Lisa Rinna,0.111727,0.2555,2555,0.11313546970145086,0.2598,2598,8.0,10.0,0.0014084697014508513,0.0042999999999999705
2,1,Stacy Keibler,0.102348,0.2555,2555,0.10208157936686224,0.2598,2598,8.0,10.0,-0.0002664206331377539,0.0042999999999999705
2,1,Jerry Rice,0.101138,0.2555,2555,0.1035202825324881,0.2598,2598,8.0,10.0,0.0023822825324880947,0.0042999999999999705
2,1,Giselle Fernandez,0.101507,0.2555,2555,0.10267366969360024,0.2598,2598,8.0,10.0,0.0011666696936002419,0.0042999999999999705
2,1,Master P,0.126807,0.2555,2555,0.12276432591190636,0.2598,2598,8.0,10.0,-0.00404267408809364,0.0042999999999999705
2,1,Drew Lachey,0.103,0.2555,2555,0.10157469801898372,0.2598,2598,8.0,10.0,-0.001425301981016272,0.0042999999999999705
2,1,Kenny Mayne,0.019211,0.2555,2555,0.01930169972145655,0.2598,2598,8.0,10.0,9.069972145655039e-05,0.0042999999999999705
2,2,Tatum O'Neal,0.023257,0.2855,2855,0.03232256299113289,0.2979,2979,10.0,12.000000000000002,0.00906556299113289,0.012400000000000022
2,2,Tia Carrere,0.119494,0.2855,2855,0.11791556018352303,0.2979,2979,10.0,12.000000000000002,-0.0015784398164769703,0.012400000000000022
2,2,George Hamilton,0.120118,0.2855,2855,0.11848587262574696,0.2979,2979,10.0,12.000000000000002,-0.0016321273742530423,0.012400000000000022
2,2,Lisa Rinna,0.139309,0.2855,2855,0.13890059789855372,0.2979,2979,10.0,12.000000000000002,-0.0004084021014462702,0.012400000000000022
2,2,Stacy Keibler,0.113205,0.2855,2855,0.11266191136282509,0.2979,2979,10.0,12.000000000000002,-0.0005430886371749072,0.012400000000000022
2,2,Jerry Rice,0.114489,0.2855,2855,0.11129206240851527,0.2979,2979,10.0,12.000000000000002,-0.0031969375914847192,0.012400000000000022
2,2,Giselle Fernandez,0.114179,0.2855,2855,0.1167885017474462,0.2979,2979,10.0,12.000000000000002,0.0026095017474462023,0.012400000000000022
2,2,Master P,0.137571,0.2855,2855,0.14058929760261096,0.2979,2979,10.0,12.000000000000002,0.0030182976026109642,0.012400000000000022
2,2,Drew Lachey,0.118377,0.2855,2855,0.11104363317964548,0.2979,2979,10.0,12.000000000000002,-0.007333366820354514,0.012400000000000022
2,3,Tia Carrere,0.12212,0.1228,1228,0.11994524454248612,0.1352,1352,12.000000000000004,14.000000000000004,-0.0021747554575138883,0.01239999999999998
2,3,George Hamilton,0.138528,0.1228,1228,0.1395684417541313,0.1352,1352,12.000000000000004,14.000000000000004,0.0010404417541312883,0.01239999999999998
