season,week,celebrity_name,estimated_fan_share,share_std,confidence,n_valid_sims
1,1,John O'Hurley,0.166667,,,0
1,1,Kelly Monaco,0.166667,,,0
1,1,Evander Holyfield,0.166667,,,0
1,1,Rachel Hunter,0.166667,,,0
1,1,Joey McIntyre,0.166667,,,0
1,1,Trista Sutter,0.166667,,,0
1,2,John O'Hurley,0.166891,0.153982,0.182,1820
1,2,Kelly Monaco,0.198557,0.153165,0.182,1820
1,2,Evander Holyfield,0.245775,0.148187,0.182,1820
1,2,Rachel Hunter,0.166097,0.149779,0.182,1820
1,2,Joey McIntyre,0.19169,0.14771,0.182,1820
1,2,Trista Sutter,0.03099,0.030658,0.182,1820
1,3,John O'Hurley,0.208955,0.179568,0.4316,4316
1,3,Kelly Monaco,0.283827,0.178935,0.4316,4316
1,3,Evander Holyfield,0.069751,0.064979,0.4316,4316
1,3,Rachel Hunter,0.216794,0.187408,0.4316,4316
1,3,Joey McIntyre,0.220673,0.180012,0.4316,4316
1,4,John O'Hurley,0.27041,0.195513,0.1671,1671
1,4,Kelly Monaco,0.26879,0.197736,0.1671,1671
1,4,Rachel Hunter,0.051511,0.047032,0.1671,1671
1,4,Joey McIntyre,0.409289,0.184767,0.1671,1671
1,5,John O'Hurley,0.333333,,,0
1,5,Kelly Monaco,0.333333,,,0
1,5,Joey McIntyre,0.333333,,,0
1,6,John O'Hurley,0.5,,,0
1,6,Kelly Monaco,0.5,,,0
2,1,Tatum O'Neal,0.102018,0.099494,0.2555,2555
2,1,Tia Carrere,0.106407,0.099994,0.2555,2555
2,1,George Hamilton,0.125837,0.101881,0.2555,2555
2,1,Lisa Rinna,0.111727,0.100053,0.2555,2555
2,1,Stacy Keibler,0.102348,0.102089,0.2555,2555
2,1,Jerry Rice,0.101138,0.10073,0.2555,2555
2,1,Giselle Fernandez,0.101507,0.101341,0.2555,2555
2,1,Master P,0.126807,0.103118,0.2555,2555
2,1,Drew Lachey,0.103,0.102358,0.2555,2555
2,1,Kenny Mayne,0.019211,0.019187,0.2555,2555
2,2,Tatum O'Neal,0.023257,0.022058,0.2855,2855
2,2,Tia Carrere,0.119494,0.113861,0.2855,2855
2,2,George Hamilton,0.120118,0.114105,0.2855,2855
2,2,Lisa Rinna,0.139309,0.109533,0.2855,2855
2,2,Stacy Keibler,0.113205,0.10849,0.2855,2855
2,2,Jerry Rice,0.114489,0.109716,0.2855,2855
2,2,Giselle Fernandez,0.114179,0.112991,0.2855,2855
2,2,Master P,0.137571,0.107845,0.2855,2855
2,2,Drew Lachey,0.118377,0.113786,0.2855,2855
2,3,Tia Carrere,0.12212,0.120521,0.1228,1228
2,3,George Hamilton,0.138528,0.120402,0.1228,1228
2,3,Lisa Rinna,0.122062,0.121588,0.1228,1228
2,3,Stacy Keibler,0.120281,0.124397,0.1228,1228
2,3,Jerry Rice,0.159925,0.111061,0.1228,1228
2,3,Giselle Fernandez,0.019495,0.019633,0.1228,1228
2,3,Master P,0.199805,0.122306,0.1228,1228
2,3,Drew Lachey,0.117784,0.116562,0.1228,1228
2,4,Tia Carrere,0.151744,0.135728,0.3794,3794
2,4,George Hamilton,0.193989,0.138509,0.3794,3794
2,4,Lisa Rinna,0.145235,0.140722,0.3794,3794
2,4,Stacy Keibler,0.149682,0.140032,0.3794,3794
2,4,Jerry Rice,0.169739,0.137649,0.3794,3794
2,4,Master P,0.042503,0.040546,0.3794,3794
2,4,Drew Lachey,0.14711,0.137664,0.3794,3794
2,5,Tia Carrere,0.054491,0.050471,0.3981,3981
2,5,George Hamilton,0.193681,0.158722,0.3981,3981
2,5,Lisa Rinna,0.17674,0.155258,0.3981,3981
2,5,Stacy Keibler,0.170206,0.155227,0.3981,3981
2,5,Jerry Rice,0.233308,0.15302,0.3981,3981
2,5,Drew Lachey,0.171574,0.156507,0.3981,3981
2,6,George Hamilton,0.067395,0.058848,0.4185,4185
2,6,Lisa Rinna,0.224895,0.179228,0.4185,4185
2,6,Stacy Keibler,0.212152,0.181195,0.4185,4185
2,6,Jerry Rice,0.282887,0.17366,0.4185,4185
2,6,Drew Lachey,0.212671,0.183762,0.4185,4185
2,7,Lisa Rinna,0.083202,0.07023,0.421,4210
2,7,Stacy Keibler,0.286111,0.218033,0.421,4210
2,7,Jerry Rice,0.34734,0.200596,0.421,4210
2,7,Drew Lachey,0.283347,0.21684,0.421,4210
2,8,Stacy Keibler,0.333333,,,0
2,8,Jerry Rice,0.333333,,,0
2,8,Drew Lachey,0.333333,,,0
3,1,Harry Hamlin,0.099249,0.096146,0.3491,3491
3,1,Vivica A. Fox,0.097322,0.098442,0.3491,3491
3,1,Monique Coleman,0.09897,0.097087,0.3491,3491
3,1,Joey Lawrence,0.097206,0.096809,0.3491,3491
3,1,Mario Lopez,0.097582,0.098509,0.3491,3491
3,1,Emmitt Smith,0.095444,0.096859,0.3491,3491
3,1,Shanna Moakler,0.098568,0.09687,0.3491,3491
3,1,Willa Ford,0.094326,0.093626,0.3491,3491
3,1,Sara Evans,0.105703,0.098279,0.3491,3491
3,1,Jerry Springer,0.099437,0.095712,0.3491,3491
3,1,Tucker Carlson,0.016193,0.013025,0.3491,3491
3,2,Harry Hamlin,0.118386,0.097559,0.1053,1053
3,2,Vivica A. Fox,0.098275,0.09203,0.1053,1053
3,2,Monique Coleman,0.103356,0.099042,0.1053,1053
3,2,Joey Lawrence,0.096314,0.092886,0.1053,1053
3,2,Mario Lopez,0.120123,0.099093,0.1053,1053
3,2,Emmitt Smith,0.104034,0.100351,0.1053,1053
3,2,Shanna Moakler,0.008927,0.00863,0.1053,1053
3,2,Willa Ford,0.102083,0.09513,0.1053,1053
3,2,Sara Evans,0.119201,0.100804,0.1053,1053
3,2,Jerry Springer,0.129301,0.101961,0.1053,1053
3,3,Harry Hamlin,0.010684,0.010396,0.1184,1184
3,3,Vivica A. Fox,0.109481,0.106117,0.1184,1184
3,3,Monique Coleman,0.108811,0.102933,0.1184,1184
3,3,Joey Lawrence,0.125414,0.108157,0.1184,1184
3,3,Mario Lopez,0.122813,0.106022,0.1184,1184
3,3,Emmitt Smith,0.148231,0.109632,0.1184,1184
3,3,Willa Ford,0.127054,0.105814,0.1184,1184
3,3,Sara Evans,0.114637,0.111064,0.1184,1184
3,3,Jerry Springer,0.132874,0.109475,0.1184,1184
3,4,Vivica A. Fox,0.013711,0.01276,0.1248,1248
3,4,Monique Coleman,0.143732,0.117477,0.1248,1248
3,4,Joey Lawrence,0.130339,0.119529,0.1248,1248
3,4,Mario Lopez,0.121956,0.116607,0.1248,1248
3,4,Emmitt Smith,0.144544,0.11689,0.1248,1248
3,4,Willa Ford,0.127241,0.123872,0.1248,1248
3,4,Sara Evans,0.165532,0.118801,0.1248,1248
3,4,Jerry Springer,0.152945,0.11965,0.1248,1248
3,5,Monique Coleman,0.151281,0.12767,0.1022,1022
3,5,Joey Lawrence,0.170494,0.131569,0.1022,1022
3,5,Mario Lopez,0.156546,0.134187,0.1022,1022
3,5,Emmitt Smith,0.153831,0.127778,0.1022,1022
3,5,Willa Ford,0.014532,0.014157,0.1022,1022
3,5,Sara Evans,0.178373,0.131674,0.1022,1022
