season,week,celebrity_name,estimated_fan_share,share_std,confidence,n_valid_sims,prior_strength,posterior_strength
1,1,John O'Hurley,0.166667,,,0,4.8,4.8
1,1,Kelly Monaco,0.166667,,,0,4.8,4.8
1,1,Evander Holyfield,0.166667,,,0,4.8,4.8
1,1,Rachel Hunter,0.166667,,,0,4.8,4.8
1,1,Joey McIntyre,0.166667,,,0,4.8,4.8
1,1,Trista Sutter,0.166667,,,0,4.8,4.8
1,2,John O'Hurley,0.162719,0.15808,0.1917,1917,4.8,6.8
1,2,Kelly Monaco,0.196242,0.15338,0.1917,1917,4.8,6.8
1,2,Evander Holyfield,0.248656,0.155593,0.1917,1917,4.8,6.8
1,2,Rachel Hunter,0.164955,0.15394,0.1917,1917,4.8,6.8
1,2,Joey McIntyre,0.19675,0.151681,0.1917,1917,4.8,6.8
1,2,Trista Sutter,0.030678,0.03122,0.1917,1917,4.8,6.8
1,3,John O'Hurley,0.196864,0.14306,0.3897,3897,6.8,8.799999999999999
1,3,Kelly Monaco,0.282874,0.136506,0.3897,3897,6.8,8.799999999999999
1,3,Evander Holyfield,0.102001,0.064719,0.3897,3897,6.8,8.799999999999999
1,3,Rachel Hunter,0.193678,0.145565,0.3897,3897,6.8,8.799999999999999
1,3,Joey McIntyre,0.224583,0.143982,0.3897,3897,6.8,8.799999999999999
1,4,John O'Hurley,0.25437,0.122717,0.1955,1955,8.799999999999999,10.799999999999997
1,4,Kelly Monaco,0.286966,0.128256,0.1955,1955,8.799999999999999,10.799999999999997
1,4,Rachel Hunter,0.101928,0.04858,0.1955,1955,8.799999999999999,10.799999999999997
1,4,Joey McIntyre,0.356736,0.112009,0.1955,1955,8.799999999999999,10.799999999999997
1,5,John O'Hurley,0.304254,,,0,10.799999999999997,10.799999999999997
1,5,Kelly Monaco,0.348067,,,0,10.799999999999997,10.799999999999997
1,5,Joey McIntyre,0.347679,,,0,10.799999999999997,10.799999999999997
1,6,John O'Hurley,0.466417,,,0,10.56759807825239,10.56759807825239
1,6,Kelly Monaco,0.533583,,,0,10.56759807825239,10.56759807825239
2,1,Tatum O'Neal,0.103968,0.10066,0.2598,2598,8.0,10.0
2,1,Tia Carrere,0.107537,0.101619,0.2598,2598,8.0,10.0
